CountryCode,question_label,target_group,age,answer,percentage
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,39
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,11
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,0
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,7
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,37
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,21
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,34
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,0
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,23
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,26
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,28
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,23
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,0
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,NA
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,NA
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,NA
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,NA
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,NA
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,NA
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,NA
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,NA
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,NA
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,NA
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,11
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,25
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,30
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,34
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,0
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,NA
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,NA
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,NA
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,NA
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,NA
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,24
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,33
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,25
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,17
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,1
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,12
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,17
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,42
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,28
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,0
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,36
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,20
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,24
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,16
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,4
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,NA
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,NA
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,NA
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,NA
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,NA
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,NA
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,NA
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,NA
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,NA
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,NA
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,33
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,15
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,28
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,24
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,0
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,15
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,44
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,32
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,9
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,0
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,16
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,33
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,30
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Never,20
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Dont know,1
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,NA
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,NA
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,NA
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Always,NA
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Often,NA
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,15-17,Rarely,NA
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,8
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,20
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,42
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,30
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,23
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,43
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,26
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,7
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,28
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,34
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,26
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,12
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,36
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,35
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,11
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,19
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,9
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,23
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,40
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,28
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,5
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,24
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,47
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,24
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,7
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,20
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,40
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,32
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,18
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,28
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,36
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,18
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,13
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,47
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,27
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,12
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,8
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,27
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,44
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,21
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,4
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,24
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,44
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,28
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,20
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,40
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,28
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,11
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,41
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,22
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,17
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,20
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,20
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,33
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,31
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,16
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,13
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,40
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,31
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,16
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,9
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,36
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,36
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,19
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,33
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,32
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,27
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,7
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Dont know,0
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Always,NA
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Often,NA
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Rarely,NA
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,18-24,Never,NA
