CountryCode,question_label,target_group,education,answer,percentage
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",NA
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,NA
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",NA
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),NA
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,NA
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,NA
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,NA
Cyprus,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,NA
Cyprus,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,NA
Cyprus,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,NA
Cyprus,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,NA
Cyprus,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",NA
Cyprus,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,NA
Cyprus,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",NA
Cyprus,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),NA
Cyprus,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,NA
Cyprus,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,NA
Cyprus,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,NA
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,11
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,34
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,21
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,15
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",22
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,33
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",37
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),22
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,28
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,17
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,14
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,7
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,18
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,18
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,18
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",22
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,40
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",38
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),12
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,27
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,26
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,15
Denmark,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,NA
Denmark,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,NA
Denmark,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,NA
Denmark,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,NA
Denmark,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",NA
Denmark,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,NA
Denmark,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",NA
Denmark,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),NA
Denmark,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,NA
Denmark,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,NA
Denmark,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,NA
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,38
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,59
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,51
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,27
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",30
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,41
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",46
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),27
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,42
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,9
Estonia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,13
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,41
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,75
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,55
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,18
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",22
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,38
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",40
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),22
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,53
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,5
Greece,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,4
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,15
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,20
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,10
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,11
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",35
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,37
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",48
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),13
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,20
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,23
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,7
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,14
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,33
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,29
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,19
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",23
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,39
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",48
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),15
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,25
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,10
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,18
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,15
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,37
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,27
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,15
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",35
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,55
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",47
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),32
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,41
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,9
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,13
Croatia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,NA
Croatia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,NA
Croatia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,NA
Croatia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,NA
Croatia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",NA
Croatia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,NA
Croatia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",NA
Croatia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),NA
Croatia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,NA
Croatia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,NA
Croatia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,NA
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,17
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,36
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,30
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,41
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",40
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,46
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",49
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),44
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,49
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,9
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,4
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,23
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,31
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,39
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,17
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",40
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,62
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",52
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),13
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,45
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,15
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,9
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,16
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,38
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,19
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,20
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",25
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,33
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",36
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),17
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,26
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,14
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,17
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,41
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,67
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,54
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,33
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",46
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,49
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",56
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),46
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,62
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,19
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,2
Luxembourg,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,NA
Luxembourg,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,NA
Luxembourg,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,NA
Luxembourg,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,NA
Luxembourg,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",NA
Luxembourg,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,NA
Luxembourg,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",NA
Luxembourg,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),NA
Luxembourg,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,NA
Luxembourg,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,NA
Luxembourg,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,NA
Latvia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,35
Latvia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,44
Latvia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,51
Latvia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,10
Latvia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",34
Latvia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,46
Latvia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",48
Latvia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),17
Latvia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,29
Latvia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,10
Latvia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,10
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,NA
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,NA
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,NA
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,NA
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",NA
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public transport ,NA
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"In the street, a square, park, car park or other public place",NA
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,In a healthcare setting (hospital or other medical service),NA
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Public premises or buildings,NA
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Other ,NA
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Dont Know ,NA
Netherlands,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,My home ,0
Netherlands,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Around my family ,8
Netherlands,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,School ,24
Netherlands,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,Workplace ,15
Netherlands,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,Lower secondary or less,"A cafe, restaurant, pub, club",33
