CountryCode,question_label,target_group,partner,answer,percentage
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,51
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,6
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,8
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,48
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,38
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,4
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,17
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,49
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,29
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,2
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,13
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,48
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,37
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,9
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,23
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,41
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,26
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,1
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,12
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,29
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,32
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,27
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,9
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,26
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,44
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,20
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,1
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,10
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,42
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,46
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,12
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,31
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,41
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,16
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,32
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,25
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,26
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,16
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,15
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,19
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,39
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,27
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,11
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,32
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,32
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,25
Ireland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,6
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,28
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,41
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,24
Italy,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,22
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,27
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,42
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,10
Lithuania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,7
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,22
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,43
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,29
Luxembourg,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,10
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,29
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,42
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,18
Latvia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,3
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,13
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,37
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,47
Malta,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,2
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,16
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,53
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,29
Netherlands,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,15
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,36
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,30
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,19
Poland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,5
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,19
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,44
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,32
Portugal,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,13
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,31
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,31
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,25
Romania,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,1
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,16
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,52
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,31
Sweden,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,10
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,15
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,40
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,34
Slovenia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,11
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,27
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,40
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,21
Slovakia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,11
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,29
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,43
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,17
United Kingdom,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,9
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,26
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,42
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,24
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Dont know,0
North Macedonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,28
North Macedonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,27
North Macedonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,25
North Macedonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,20
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Always,24
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Often,26
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Rarely,26
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Lesbian women,Female partner,Never,23
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Always,11
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Often,17
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Rarely,45
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Never,28
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Dont know,0
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Always,21
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Often,10
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Rarely,43
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Never,26
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Dont know,0
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Always,5
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Often,21
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Rarely,35
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Never,39
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Dont know,0
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Always,22
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Often,18
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Rarely,30
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Never,30
EU-28,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Dont know,1
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Always,NA
Serbia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Gay men,Female partner,Often,NA
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,0
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,14
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,40
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,46
Austria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,0
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,10
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,37
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,35
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,18
Belgium,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,0
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,10
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,25
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,40
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,24
Bulgaria,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,0
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,17
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,20
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,30
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,33
Cyprus,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,0
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,2
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,19
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,42
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,37
Czechia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,0
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,6
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,18
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,41
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,35
Germany,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,0
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,8
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,7
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,36
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,45
Denmark,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,3
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,11
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,9
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,47
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,33
Estonia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,0
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,6
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,30
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,47
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,17
Greece,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,0
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,10
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,24
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,44
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,22
Spain,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,0
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,3
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,8
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,43
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,46
Finland,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,0
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,10
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,34
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,42
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,14
France,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,0
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,13
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,28
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,31
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Never,27
Croatia,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Dont know,0
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Always,16
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Often,32
Hungary,"Avoid certain places for fear of being assaulted, threatened or harassed because you are LGBTI?",Bisexual women,Female partner,Rarely,20
