CountryCode,question_label,target_group,age,answer,percentage
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",22
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,32
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",37
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),9
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,22
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,20
Spain,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,15
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,16
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,34
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,35
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,21
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",23
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,39
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",51
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),15
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,30
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,12
Finland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,17
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,15
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,40
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,25
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,12
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",31
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,57
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",48
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),22
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,33
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,12
France,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,14
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,32
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,51
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,57
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,22
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",40
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,46
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",55
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),44
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,42
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,6
Hungary,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,7
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,25
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,35
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,46
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,23
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",43
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,58
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",52
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),14
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,47
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,16
Ireland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,7
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,43
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,59
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,47
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,11
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",26
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,39
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",34
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),25
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,31
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,14
Italy,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,6
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,46
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,69
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,62
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,5
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",40
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,49
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",51
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),36
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,50
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,24
Lithuania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,3
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,31
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,36
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,7
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,18
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",7
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,37
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",36
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),7
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,14
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,9
Malta,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,17
Poland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,34
Poland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,57
Poland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,47
Poland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,15
Poland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",39
Poland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,60
Poland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",61
Poland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),36
Poland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,48
Poland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,20
Poland,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,6
Portugal,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,37
Portugal,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,65
Portugal,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,32
Portugal,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,27
Portugal,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",40
Portugal,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,51
Portugal,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",27
Portugal,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),24
Portugal,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,34
Portugal,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,12
Portugal,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,0
Romania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,41
Romania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,70
Romania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,71
Romania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,22
Romania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",47
Romania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,53
Romania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",56
Romania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),44
Romania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,52
Romania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,12
Romania,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,2
Slovakia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,27
Slovakia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,62
Slovakia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,46
Slovakia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,19
Slovakia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",46
Slovakia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,49
Slovakia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",56
Slovakia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),34
Slovakia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,39
Slovakia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,5
Slovakia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,9
United Kingdom,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,21
United Kingdom,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,42
United Kingdom,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,39
United Kingdom,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,21
United Kingdom,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",31
United Kingdom,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,60
United Kingdom,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",57
United Kingdom,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),18
United Kingdom,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,39
United Kingdom,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,10
United Kingdom,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,7
EU-28,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,My home ,29
EU-28,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Around my family ,50
EU-28,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,School ,44
EU-28,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Workplace ,17
EU-28,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"A cafe, restaurant, pub, club",32
EU-28,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public transport ,50
EU-28,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,"In the street, a square, park, car park or other public place",50
EU-28,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,In a healthcare setting (hospital or other medical service),23
EU-28,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Public premises or buildings,39
EU-28,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Other ,13
EU-28,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Lesbian women,15-17,Dont Know ,8
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,My home ,15
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Around my family ,31
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,School ,39
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Workplace ,17
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,"A cafe, restaurant, pub, club",27
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Public transport ,37
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,"In the street, a square, park, car park or other public place",33
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,In a healthcare setting (hospital or other medical service),14
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Public premises or buildings,34
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Other ,27
Austria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Dont Know ,5
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,My home ,12
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Around my family ,47
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,School ,54
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Workplace ,18
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,"A cafe, restaurant, pub, club",41
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Public transport ,80
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,"In the street, a square, park, car park or other public place",74
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,In a healthcare setting (hospital or other medical service),26
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Public premises or buildings,34
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Other ,29
Belgium,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Dont Know ,1
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,My home ,56
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Around my family ,58
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,School ,69
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Workplace ,32
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,"A cafe, restaurant, pub, club",56
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Public transport ,60
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,"In the street, a square, park, car park or other public place",77
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,In a healthcare setting (hospital or other medical service),45
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Public premises or buildings,59
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Other ,22
Bulgaria,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Dont Know ,1
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,My home ,20
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Around my family ,37
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,School ,32
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Workplace ,21
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,"A cafe, restaurant, pub, club",35
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Public transport ,39
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,"In the street, a square, park, car park or other public place",47
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,In a healthcare setting (hospital or other medical service),18
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Public premises or buildings,39
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Other ,15
Czechia,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Dont Know ,10
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,My home ,17
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Around my family ,32
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,School ,44
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Workplace ,20
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,"A cafe, restaurant, pub, club",32
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,Public transport ,49
Germany,"Places where openness is avoided for fear of being assaulted, threatened or harassed by others",Gay men,15-17,"In the street, a square, park, car park or other public place",50
