CountryCode,question_label,target_group,subset,answer,percentage
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,18
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,5
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,22
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,45
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,28
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,31
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,41
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,22
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,6
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,56
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,25
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,11
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,7
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,30
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,27
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,27
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,15
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,16
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,41
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,33
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,9
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,13
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,39
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,33
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,14
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,35
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,33
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,26
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,5
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,1
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,6
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,44
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,29
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,21
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,26
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,33
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,32
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,9
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,15
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,27
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,31
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,27
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,6
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,36
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,43
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,14
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,1
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,33
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,39
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,21
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,7
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,18
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,32
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,32
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,18
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,36
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,38
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,17
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,9
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,2
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,26
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,55
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,17
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,12
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,32
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,48
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,8
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,44
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,30
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,21
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,5
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,13
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,36
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,37
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,14
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,18
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,34
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,34
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,14
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,52
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,42
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,5
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,2
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,0
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Always,55
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Often,22
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Rarely,10
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Never,12
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,In paid work,Dont know,1
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,NA
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,NA
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,NA
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,NA
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,NA
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,NA
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,NA
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,NA
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,NA
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,NA
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,NA
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,NA
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,NA
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,NA
Bulgaria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,NA
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,NA
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,NA
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,NA
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,NA
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,NA
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,7
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,15
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,45
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,33
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,0
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,NA
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,NA
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,NA
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,NA
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,NA
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,NA
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,NA
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,NA
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,NA
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,NA
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,NA
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,NA
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,NA
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,NA
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,NA
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,0
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,30
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,23
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,48
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,0
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,NA
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,NA
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,NA
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,NA
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,NA
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,13
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,45
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,37
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,5
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,0
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,NA
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,NA
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,NA
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,NA
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,NA
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,NA
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,NA
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,NA
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,NA
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,NA
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,NA
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,NA
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Rarely,NA
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Never,NA
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Dont know,NA
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Always,4
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,"In unpaid, voluntary work",Often,43
