CountryCode,question_label,target_group,partner,answer,percentage
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,29
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,38
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,24
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,9
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,11
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,32
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,40
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,18
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,5
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,22
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,47
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,26
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,31
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,39
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,24
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,6
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,59
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,22
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,12
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,7
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,33
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,23
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,27
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,17
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,16
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,40
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,33
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,11
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,13
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,38
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,33
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,15
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,28
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,35
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,28
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,9
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,6
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,37
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,32
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,25
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,32
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,27
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,30
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,11
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,12
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,26
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,34
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,28
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,7
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,34
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,46
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,12
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,31
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,39
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,23
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,8
Poland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,19
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,36
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,28
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,17
Portugal,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,34
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,40
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,16
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,10
Romania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,2
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,22
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,52
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,24
Sweden,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,17
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,33
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,41
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,10
Slovenia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,44
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,30
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,20
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,6
Slovakia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,14
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,36
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,38
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,13
United Kingdom,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,18
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,33
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,35
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,14
EU-28,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,56
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,34
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,4
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,6
North Macedonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,0
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Always,52
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Often,24
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Rarely,16
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Never,7
Serbia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Female partner,Dont know,1
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Austria,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Belgium,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Cyprus,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Czechia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,3
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,27
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,48
Germany,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,23
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Denmark,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Estonia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Greece,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Spain,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,0
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,13
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,45
Finland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,41
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,11
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,37
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,44
France,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,8
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Croatia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Hungary,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Ireland,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Italy,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Lithuania,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Luxembourg,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Latvia,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Often,NA
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Rarely,NA
Malta,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Never,NA
Netherlands,"Avoid holding hands in public with same-sex partner for fear of being assaulted, threatened or harassed",Lesbian women,Other / non-binary,Always,NA
